Key,SF_ID-1,SF_ID-2,Customer Name,Street,City,State,Country.region,ZIP,FIPS,lat,long,SalesPerson,Count of YM,Max of YM,Min of YM,Current Customer,Months Since Last Purchase, TotalSales_L12M , SalesPerMonth ,Bucket
2498,00160000010Q7pcAAC,,Marine 360,1925 Johnson Marina Rd,Chapin,SC,USA,29036,45063,34.118572,-81.276669,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2501,00160000010QG3qAAG,,Doss Automotive,1720 Chapin Road,Chapin,SC,USA,29036,45063,34.170382,-81.362109,Christopher Thomas,12,201608,201509,1,0," $6,125 ", $510 ,4
2529,00160000010QGpFAAW,,Moses Power Sports,6200 hwy 58 suite A,Harrison,TN,USA,37341,47065,35.120371,-85.125061,JJ Aho,12,201608,201509,1,0," $6,125 ", $510 ,4
2537,00160000010QG3WAAW,,Barnes Marine,10080  HIGHWAY 57,Counce,TN,USA,38326,47071,35.039456,-88.271406,JJ Aho,12,201608,201509,1,0," $6,125 ", $510 ,4
2545,00160000010Q4UNAA0,,Travis Marine,9312 Tedford Rd.,Knoxville,TN,USA,37922,47093,35.860559,-84.053433,JJ Aho,12,201608,201509,1,0," $6,125 ", $510 ,4
2546,00160000010QBuVAAW,,The Marinas/Fox Road Marina,1100 Fox Rd.,Knoxville,TN,USA,37922,47093,35.87642,-84.115944,JJ Aho,12,201608,201509,1,0," $6,125 ", $510 ,4
2558,00160000010QCnSAAW,,Blue Springs Boat Company,685 Ladd Landing Way,Kingston,TN,USA,37763,47145,35.863891,-84.447364,JJ Aho,12,201608,201509,1,0," $6,125 ", $510 ,4
2572,00160000010QAdMAAW,,Aqua Sport Marine & Center Hill Marine Brokerage,6016 Leeville Pike,Lebanon,TN,USA,37090,47189,36.186686,-86.401523,JJ Aho,12,201608,201509,1,0," $6,125 ", $510 ,4
2578,00160000010QCOPAA4,,Master Marine,10472 W Loop 1604 N,San Antonio,TX,USA,78254,48029,29.289317,-98.667884,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2588,00160000010QBRgAAO,,Canyon Lake Marina,Pob 2360,Canyon Lake,TX,USA,78133,48091,29.204055,-98.194837,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2598,00160000010QGTNAA4,,C G Marine International,PO Box 560668,The Colony,TX,USA,75056,48121,33.077136,-96.901605,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2599,00160000010QBa1AAG,,Dfw Boats,1780 B North I-35,Lewisville,TX,USA,75067,48121,32.965561,-96.917299,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2607,00160000010QECXAA4,,Waterski America,375 Oak Ridge Blvd,Lewisville,TX,USA,75057,48121,33.072265,-97.016914,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2609,00160000010QCQOAA4,,Buxton Marine Sales,1566 N. Stemmons Fwy,Lewisville,TX,USA,75067,48121,33.069992,-97.017642,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2612,00160000010QGQLAA4,,Outdoor Specialties,10402 N I-20 ACCESS,Eastland,TX,USA,76448,48133,32.381796,-98.96333,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2647,00160000010Q8HLAA0,,Pete Jorgensen Marine,24 North 11th St,Beaumont,TX,USA,77702,48245,30.078875,-94.129585,Lisa Brownell,12,201608,201509,1,0," $6,125 ", $510 ,4
2721,00160000010Q7DzAAK,,Rugged Marine Supplies,12700 Old Stage Rd,Chester,VA,USA,23836,51041,37.355297,-77.396549,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2730,00160000010QAjCAAW,,Smith Mountain Boat & Tackle,Po Box 69,Penhook,VA,USA,24137,51067,36.934169,-79.682503,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
